name,aupr,aupr_ci_b,aupr_ci_t,biased_f1,biased_f1_ci_b,biased_f1_ci_t,biased_precision,biased_recall,mixed_f1,mixed_f1_ci_b,mixed_f1_ci_t,mixed_precision,mixed_recall
Logistic Regression Mult Biased,0.629335450214,0.589569642027,0.669988172573,0.613272311213,0.569606386712,0.646915273702,0.8375,0.483754512635,0.593831793821,0.555837037154,0.641579434654,0.768761877443,0.483754512635
Logistic Regression Mult Gold,0.607891654098,0.544892152298,0.640910129834,0.594235033259,0.567414562808,0.632300639836,0.770114942529,0.483754512635,0.588981231212,0.538070060444,0.616738424884,0.75271177686,0.483754512635
Logistic Regression Mult Silver,0.566154619671,0.547199129537,0.611211932355,0.552995391705,0.516647058824,0.573178761558,0.764331210191,0.43321299639,0.552995391705,0.490538647994,0.5927657194,0.764331210191,0.43321299639
Random Forest Mult Biased,0.575023865189,0.529537044505,0.607603876967,0.375350140056,0.310434605736,0.418316460442,0.8375,0.241877256318,0.362701312762,0.306583608803,0.385305351074,0.724716062737,0.241877256318
Random Forest Mult Gold,0.63170967614,0.570932419229,0.66429082935,0.284848484848,0.238183954347,0.324869874009,0.88679245283,0.169675090253,0.283116440302,0.241512412745,0.339953120624,0.854252400549,0.169675090253
Random Forest Mult Silver,0.626727747586,0.589164010476,0.692317741827,0.175895765472,0.127246753247,0.198689320388,0.9,0.0974729241877,0.175895765472,0.148673851921,0.207609627634,0.9,0.0974729241877
SVM Mult Biased,0.629458542168,0.568747146127,0.67951383919,0.485488126649,0.455522090418,0.53384951881,0.901960784314,0.332129963899,0.475259559382,0.428361596432,0.507047623012,0.835172659309,0.332129963899
SVM Mult Gold,0.636371823888,0.606257163623,0.688995184169,0.606741573034,0.566887531571,0.644647630564,0.803571428571,0.487364620939,0.587861743627,0.543076892646,0.618373695616,0.740571428571,0.487364620939
SVM Mult Silver,0.665583194869,0.61617046704,0.698062164849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
